D= 1216
 GENUS#55;P=2; 786432; [5]+[2 A]+[160]
 GENUS#55;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#56;P=2; 6291456; [5]+[2]+[8 H]
 GENUS#56;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#57;P=2; 6291456; [3]+[4 H]+[56]
 GENUS#57;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#58;P=2; 6291456; [7]+[4 H]+[24]
 GENUS#58;P=3; 16/3; [1]+[1]+[2]+[3]

D= 1600
 GENUS#25;P=2; 4096; [H]+[2]+[56]
 GENUS#25;P=5; 360; [1]+[2]+[5]+[10]
 GENUS#26;P=2; 49152; [7]+[2 A]+[20]
 GENUS#26;P=5; 48; [1]+[1]+[2]+[50]
 GENUS#27;P=2; 49152; [1]+[2 A]+[12]
 GENUS#27;P=5; 160; [1]+[1]+[5]+[5]
 GENUS#28;P=2; 4096; [H]+[4]+[28]
 GENUS#28;P=5; 360; [1]+[2]+[5]+[10]
 GENUS#29;P=2; 16384; [7]+[2 H]+[4]
 GENUS#29;P=5; 360; [1]+[2]+[5]+[10]
 GENUS#30;P=2; 16384; [1]+[2 H]+[28]
 GENUS#30;P=5; 360; [1]+[2]+[5]+[10]
 GENUS#31;P=2; 49152; [1]+[7]+[4 H]
 GENUS#31;P=5; 360; [1]+[2]+[5]+[10]

D= 1616
 GENUS#7;P=2; 2048; [1]+[3]+[2 H]
 GENUS#7;P=101; 20400/101; [1]+[1]+[2]+[202]
 GENUS#8;P=2; 1536; [H]+[4 A]
 GENUS#8;P=101; 20400/101; [1]+[1]+[2]+[202]

D= 1620
 GENUS#23;P=2; 192; [H]+[2 A]
 GENUS#23;P=3; 1296; [1]+[1]+[6]+[27]
 GENUS#23;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#24;P=2; 192; [A]+[2 H]
 GENUS#24;P=3; 5832; [1]+[3]+[6]+[9]
 GENUS#24;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#25;P=2; 48; [H]+[1]+[3]
 GENUS#25;P=3; 1296; [1]+[1]+[9]+[18]
 GENUS#25;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#26;P=2; 192; [H]+[2 A]
 GENUS#26;P=3; 648; [1]+[2]+[3]+[27]
 GENUS#26;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#27;P=2; 48; [H]+[1]+[3]
 GENUS#27;P=3; 1296; [1]+[2]+[9]+[9]
 GENUS#27;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#28;P=2; 192; [A]+[2 H]
 GENUS#28;P=3; 648; [1]+[2]+[6]+[54]
 GENUS#28;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#29;P=2; 192; [A]+[2 H]
 GENUS#29;P=3; 1296; [1]+[2]+[9]+[9]
 GENUS#29;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#30;P=2; 192; [H]+[2 A]
 GENUS#30;P=3; 5832; [1]+[3]+[6]+[9]
 GENUS#30;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#31;P=2; 192; [A]+[2 H]
 GENUS#31;P=3; 1296; [1]+[1]+[9]+[18]
 GENUS#31;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#32;P=2; 192; [H]+[2 A]
 GENUS#32;P=3; 11664; [1]+[3]+[3]+[18]
 GENUS#32;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#33;P=2; 48; [H]+[1]+[3]
 GENUS#33;P=3; 5832; [2]+[3]+[6]+[18]
 GENUS#33;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#34;P=2; 192; [H]+[2 A]
 GENUS#34;P=3; 5832; [2]+[3]+[6]+[18]
 GENUS#34;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#35;P=2; 192; [A]+[2 H]
 GENUS#35;P=3; 11664; [2]+[3]+[3]+[9]
 GENUS#35;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#36;P=2; 192; [A]+[2 H]
 GENUS#36;P=3; 5832; [2]+[3]+[6]+[18]
 GENUS#36;P=5; 48/5; [1]+[1]+[2]+[10]

D= 1664
 GENUS#24;P=2; 196608; [5]+[2 A]+[24]
 GENUS#24;P=13; 336/13; [1]+[1]+[1]+[26]
 GENUS#25;P=2; 65536; [7]+[2 H]+[40]
 GENUS#25;P=13; 336/13; [1]+[1]+[2]+[13]
 GENUS#26;P=2; 16384; [H]+[6]+[16]
 GENUS#26;P=13; 336/13; [1]+[1]+[2]+[13]
 GENUS#27;P=2; 16384; [H]+[14]+[80]
 GENUS#27;P=13; 336/13; [1]+[1]+[1]+[26]
 GENUS#28;P=2; 16384; [H]+[20]+[56]
 GENUS#28;P=13; 336/13; [1]+[1]+[1]+[26]

D= 1680
 GENUS#28;P=2; 6144; [1]+[3]+[2 A]
 GENUS#28;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#28;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#28;P=7; 96/7; [1]+[1]+[1]+[7]
 GENUS#29;P=2; 384; [H]+[7]+[4]
 GENUS#29;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#29;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#29;P=7; 96/7; [1]+[1]+[3]+[21]
 GENUS#30;P=2; 512; [H]+[4 H]
